Evangelion Soundtrack|true
01. 残酷な天使のテーゼ (Director's Edit Version).flac|shinji.jpg
02. FLY ME TO THE MOON.flac|shinji.jpg
03. ANGEL ATTACK.flac|shinji.jpg
04. Rei I.flac|shinji.jpg
05. Hedgehog's Dilemma.flac|shinji.jpg
06. BAREFOOT IN THE PARK.flac|shinji.jpg
07. RITSUKO.flac|shinji.jpg
08. MISATO.flac|shinji.jpg
09. ASUKA STRIKES!.flac|shinji.jpg
10. NERV.flac|shinji.jpg
11. TOKYO-3.flac|shinji.jpg
12. I.SHINJI.flac|shinji.jpg
13. EVA-01.flac|shinji.jpg
14. A STEP FORWARD INTO TERROR.flac|shinji.jpg
15. EVA-02.flac|shinji.jpg
16. DECISIVE BATTLE.flac|shinji.jpg
17. EVA-00.flac|shinji.jpg
18. THE BEAST.flac|shinji.jpg
19. MARKING TIME, WAITING FOR DEATH.flac|shinji.jpg
20. Rei II.flac|shinji.jpg
21. FLY ME TO THE MOON [instrumental].flac|shinji.jpg
22. 次回予告.flac|shinji.jpg
23. FLY ME TO THE MOON (高橋洋子 Acid Bossa Version).flac|shinji.jpg
01. 予感.flac|rei.jpg
02. 残酷な天使のテーゼ (TV. Size Version).flac|rei.jpg
03. BORDERLINE CASE.flac|rei.jpg
04. A Crystalline Night Sky.flac|rei.jpg
05. ANGEL ATTACK II.flac|rei.jpg
06. ANGEL ATTACK III.flac|rei.jpg
07. Both of you, Dance Like You Want to Win!.flac|rei.jpg
08. Waking up in the morning.flac|rei.jpg
09. BACKGROUND MUSIC.flac|rei.jpg
10. A Moment When Tension Breaks.flac|rei.jpg
11. The Day Tokyo-3 Stood Still.flac|rei.jpg
12. Spending Time in Preparation.flac|rei.jpg
13. She said, ''Don't make others suffer for your personal hatred.''.flac|rei.jpg
14. MAGMADIVER.flac|rei.jpg
15. PLEASURE PRINCIPLE.flac|rei.jpg
16. THE BEAST II.flac|rei.jpg
17. THANATOS.flac|rei.jpg
18. Rei III.flac|rei.jpg
19. When I Find Peace of Mind.flac|rei.jpg
20. FLY ME TO THE MOON (TV. Size Version).flac|rei.jpg
21. FLY ME TO THE MOON Rei(#5) (TV. Size Remix Version).flac|rei.jpg
22. FLY ME TO THE MOON Rei(#6) (TV. Size Remix Version).flac|rei.jpg
23. 次回予告.flac|rei.jpg
24. FLY ME TO THE MOON (Aya Bossa Techno Version).flac|rei.jpg
25. FLY ME TO THE MOON (Aki Jungle Version).flac|rei.jpg
01. 幸せは罪の匂い.flac|asuka.jpg
02. 無限抱擁.flac|asuka.jpg
03. NORMAL BLOOD.flac|asuka.jpg
04. HARBINGER OF TRAGEDY.flac|asuka.jpg
05. CHILDHOOD MEMORIES, SHUT AWAY.flac|asuka.jpg
06. Those women longed for the touch of others' lips, and thus invited their kisses..flac|asuka.jpg
07. BACKGROUND MUSIC II.flac|asuka.jpg
08. BACKGROUND MUSIC III.flac|asuka.jpg
09. IN THE DEPTHS OF HUMAN HEARTS.flac|asuka.jpg
10. HOSTILITY RESTRAINED.flac|asuka.jpg
11. THREE OF ME, ONE OF SOMEONE ELSE.flac|asuka.jpg
12. CRIME OF INNOCENCE.flac|asuka.jpg
13. THE SORROW OF LOSING THE OBJECT OF ONE'S DEPENDENCE.flac|asuka.jpg
14. Do you love me？.flac|asuka.jpg
15. SEPARATION ANXIETY.flac|asuka.jpg
16. INTROJECTION.flac|asuka.jpg
17. DEPRESSION.flac|asuka.jpg
18. Splitting of the Breast.flac|asuka.jpg
19. INFANTILE DEPENDENCE, ADULT DEPENDENCY.flac|asuka.jpg
20. MOTHER IS THE FIRST OTHER.flac|asuka.jpg
21. THE HEADY FEELING OF FREEDOM.flac|asuka.jpg
22. Good, or Don't Be..flac|asuka.jpg
23. FLY ME TO THE MOON (高橋洋子 TV. Size Version).flac|asuka.jpg
24. FLY ME TO THE MOON—4 BEAT TV Size VERSION—.flac|asuka.jpg
25. FLY ME TO THE MOON (Aya Bossa Techno TV. Size Version).flac|asuka.jpg
26. FLY ME TO THE MOON (高橋洋子 Acid Bossa TV. Size Version).flac|asuka.jpg
27. FLY ME TO THE MOON—4 BEAT OFF VOCAL TV. Size VERSION—.flac|asuka.jpg
28. FLY ME TO THE MOON (OFF VOCAL TV. Size Version).flac|asuka.jpg
29. FLY ME TO THE MOON (Aki Jungle TV. Size Version).flac|asuka.jpg
30. FLY ME TO THE MOON (B—22A タイプ TV. Size Version).flac|asuka.jpg
30. FLY ME TO THE MOON Rei(#23) (TV. Size Version).flac|asuka.jpg
32. FLY ME TO THE MOON Rei(#25) (TV. Size Version).flac|asuka.jpg
33. FLY ME TO THE MOON Rei(#26) (TV. Size Version).flac|asuka.jpg
34. FLY ME TO THE MOON (Aya London Beat Version).flac|asuka.jpg
